City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Bunia,1.5667,30.25,68.92,64,49,2.17,CD,1616521529
81,Mushie,-3.0167,16.9,80.29,70,33,2.64,CD,1616521529
82,Alice Springs,-23.7,133.8833,68.0,94,90,5.75,AU,1616521350
83,Ondjiva,-17.0667,15.7333,76.23,61,97,6.29,AO,1616521530
84,Charagua,-19.8,-63.2167,81.28,49,87,6.35,BO,1616521530
85,Saint-Philippe,-21.3585,55.7679,80.6,83,0,2.3,RE,1616521530
86,Pangody,65.85,74.4859,22.01,95,100,12.59,RU,1616521531
87,Itoman,26.1247,127.6694,64.4,55,75,8.05,JP,1616521531
88,Maumere,-8.6199,122.2111,79.39,83,72,3.47,ID,1616521531
89,Kitimat,54.0524,-128.6534,37.99,92,100,1.99,CA,1616521531
90,Kharp,66.8014,65.8081,7.77,95,83,3.91,RU,1616521532
91,Ponta Delgada,37.7333,-25.6667,55.4,88,40,17.27,PT,1616521532
92,Portland,45.5234,-122.6762,46.99,66,75,4.61,US,1616521517
93,Santo Antônio do Içá,-3.1022,-67.9397,77.16,89,97,3.42,BR,1616521532
94,Hokitika,-42.7167,170.9667,58.14,83,100,2.84,NZ,1616521533
95,Shingū,33.7333,135.9833,43.41,67,0,5.28,JP,1616521533
96,Ararat,39.8317,44.7049,59.0,47,75,14.97,AM,1616521533
97,Mersing,2.4312,103.8405,77.0,94,100,4.61,MY,1616521533
98,Airai,-8.9266,125.4092,60.21,92,87,1.34,TL,1616521534
99,Tomatlán,19.9333,-105.25,88.63,23,61,8.39,MX,1616521534
100,Santa Maria,-29.6842,-53.8069,72.93,87,100,4.59,BR,1616521534
101,Aswān,24.0934,32.907,92.68,10,0,5.73,EG,1616521535
102,Katobu,-4.9408,122.5276,75.11,92,98,1.92,ID,1616521535
103,Wanlaweyn,2.6185,44.8938,81.25,57,7,18.32,SO,1616521535
104,Yulara,-25.2406,130.9889,69.8,88,51,4.61,AU,1616521536
105,Marsh Harbour,26.5412,-77.0636,72.28,52,0,5.32,BS,1616521536
106,Am Timan,11.0297,20.2827,92.23,30,34,4.74,TD,1616521536
107,Rize,40.9044,40.8949,36.79,88,100,6.24,TR,1616521518
108,Angoche,-16.2325,39.9086,78.22,81,21,7.67,MZ,1616521536
109,Poronaysk,49.2167,143.1167,28.18,82,62,11.86,RU,1616521537
110,Farafangana,-22.8167,47.8333,77.32,89,93,6.62,MG,1616521537
111,Eyl,7.9803,49.8164,77.7,62,6,11.34,SO,1616521537
112,El Astillero,43.4009,-3.8205,59.0,72,0,5.75,ES,1616521538
113,Bandarbeyla,9.4942,50.8122,78.57,60,1,9.4,SO,1616521538
114,Port Elizabeth,-33.918,25.5701,68.0,77,0,14.97,ZA,1616521331
115,Chake Chake,-5.2459,39.7666,81.59,70,93,7.78,TZ,1616521538
116,Ponta do Sol,32.6667,-17.1,62.6,59,40,9.22,PT,1616521538
117,Ozernovskiy,51.5,156.5167,25.99,74,84,13.78,RU,1616521539
118,Talnakh,69.4865,88.3972,0.19,97,100,8.52,RU,1616521539
119,Coquimbo,-29.9533,-71.3436,66.2,68,0,17.27,CL,1616521534
120,Beïnamar,8.6698,15.3813,82.04,54,81,9.89,TD,1616521539
121,Nelson Bay,-32.7167,152.15,69.8,83,38,16.11,AU,1616521540
122,Half Moon Bay,37.4636,-122.4286,57.99,54,1,12.66,US,1616521540
123,Chokurdakh,70.6333,147.9167,-10.16,94,100,13.15,RU,1616521540
124,Hastings,50.8552,0.5729,48.2,87,47,13.8,GB,1616521540
125,Karratha,-20.7377,116.8463,81.86,66,45,8.23,AU,1616521541
126,Vao,-22.6667,167.4833,75.33,66,100,14.45,NC,1616521541
127,Ribeira Grande,38.5167,-28.7,59.0,58,40,16.11,PT,1616521541
128,Wawa,9.9022,4.4192,92.73,33,99,1.1,NG,1616521541
129,Sept-Îles,50.2001,-66.3821,51.8,40,40,10.36,CA,1616521542
130,Lagoa,39.05,-27.9833,54.93,54,100,12.06,PT,1616521542
131,Talgar,43.3027,77.2395,42.8,81,90,11.18,KZ,1616521542
